Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
ANIXTER AUSTRALIA PTY LTD,68055815551,291229785,26814649,8044395,2020-21
ANL CONTAINER LINE PTY LTD,41083962136,410407028,36163257,10644099,2020-21
ANSELL LIMITED,89004085330,242533697,0,0,2020-21
ANSVAR INSURANCE LIMITED,21007216506,247118258,0,0,2020-21
ANTICIMEX PTY LTD,24162914374,185718012,12473182,3741955,2020-21
ANTIPODES GLOBAL INVESTMENT COMPANY LIMITED,38612843517,701615336,22758072,5175473,2020-21
ANZ HOSPITALS TOPCO PTY LTD,20631014965,2335943947,0,0,2020-21
AON CONSOLIDATED GROUP PTY LTD,38090132675,529566005,99470783,29233266,2020-21
AOYUAN CAPITAL BLUESTONE HOLDINGS PTY LTD,19632258327,164439838,0,0,2020-21
AOYUAN PROPERTY GROUP (AUSTRALIA) PTY LIMITED,97600594125,125025834,0,0,2020-21
APCO SERVICE STATIONS PTY LTD,91007229898,426823849,5484344,1645303,2020-21
APH TOP CO PTY LIMITED,96608192374,392091407,16159855,4847956,2020-21
APM HUMAN SERVICES INTERNATIONAL PTY LTD,38639621766,530779361,57154505,17146352,2020-21
APOLLO HOLDCO PTY LTD,68626190896,421248059,46376661,13912998,2020-21
APOLLO TOURISM & LEISURE LTD,67614714742,179107542,0,0,2020-21
APPLE PTY LTD,46002510054,11187509321,579323768,173593056,2020-21
APPLIED AUSTRALIA HOLDINGS PTY LTD,48156643462,104848730,7217644,2165293,2020-21
AQUASURE FINANCE PTY LTD,35136072627,379254302,0,0,2020-21
AQUASURE HOLDINGS PTY LTD,46135956053,371014210,116215428,34864628,2020-21
ARA GROUP LIMITED,47074886561,537441276,43688232,12806703,2020-21
ARAMEX FASTWAY HOLDINGS PTY. LTD.,86609553513,151723022,8355006,2506502,2020-21
ARB CORPORATION LTD,31006708756,568195474,124967299,35905169,2020-21
ARCADIS AUSTRALIA PACIFIC HOLDINGS PTY LTD,56608711351,292520521,24238243,6501564,2020-21
ARCHITECTURAL WINDOW SYSTEMS PTY LIMITED,48067950903,129263847,19896483,4987891,2020-21
ARDEX AUSTRALIA PTY LIMITED,82000550005,107954137,12575000,2971050,2020-21
ARE MEDIA GROUP LIMITED PARTNERSHIP,55874600262,234070524,204465,0,2020-21
ARGO INVESTMENTS LIMITED,35007519520,214412988,312144090,39612812,2020-21
ARISTOCRAT LEISURE LIMITED,44002818368,1117424539,248373469,58451606,2020-21
ARJ GROUP HOLDINGS PTY LTD,31104958527,347481028,6336367,1900910,2020-21
ARKEMA PTY LTD,44000330772,109365186,0,0,2020-21
ARLA FOODS MAYER AUSTRALIA PTY LTD,78167620706,149683802,5015434,1504630,2020-21
AROLAND SINGAPORE PTE LTD,NA,113617541,112433051,33729915,2020-21
ARROTEX HOLDINGS PTY LTD,47630331814,867647410,88282329,26051019,2020-21
ARROW COMMODITIES PTY LIMITED,17078081428,1008952340,0,0,2020-21
ARROW ELECTRONICS ANZ HOLDINGS PTY LTD,90102589515,357577768,16253118,4863617,2020-21
ARROW ENERGY HOLDINGS PTY LTD,94141385293,271885745,0,0,2020-21
ARUP AUSTRALIA SERVICES PTY LTD,36625911686,479397028,34556988,8044376,2020-21
ARVINMERITOR LIGHT VEHICLE SYSTEMS AUSTRALIA PTY LTD,46004314372,117150020,15570876,4671263,2020-21
ARYZTA HOLDINGS ASIA PACIFIC PTY LIMITED,57146007365,161622869,17915481,5217942,2020-21
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48135315767,4142474447,442132647,129299723,2020-21
ASALEO CARE LIMITED,61154461300,278354163,55968898,13056007,2020-21
ASC PTY LTD,64008605034,591025406,41665226,12499568,2020-21
ASC SHIPBUILDING PTY LIMITED,15051899864,321701419,16413174,4923952,2020-21
ASG BRISBANE PTY LTD,72614297684,216369921,8572637,2571791,2020-21
ASG MELBOURNE PTY LTD,64616840110,518172503,10485685,3145706,2020-21
ASHLEY SERVICES GROUP LIMITED,92094747510,342599697,11835422,2762055,2020-21
ASICS OCEANIA PTY LTD,59003091389,272216516,32104854,9631456,2020-21
ASPEN ASIA PACIFIC PTY LTD,75146444484,531236572,84122393,21274103,2020-21
ASPEN INSURANCE UK LIMITED AUSTRALIAN BRANCH,33128637650,107314551,16433579,4622098,2020-21
ASPEN MEDICAL,32105250413,854352788,249616774,74885032,2020-21
ASPLUNDH HOLDINGS PTY LTD,NA,167155875,1213542,364063,2020-21
ASSA ABLOY AUSTRALIA PACIFIC PTY LIMITED,81095354582,517450226,51457585,14271408,2020-21
ASSOCIATED KILN DRIERS PTY. LIMITED,34004341048,561612614,61155768,18336016,2020-21
ASSOCIATED RETAILERS LIMITED,42004520030,216165922,0,0,2020-21
ASTELLAS PHARMA AUSTRALIA PTY LTD,81147915482,128877602,8031409,2409423,2020-21
ASTRAZENECA HOLDINGS PTY LIMITED,59066876962,1153691439,227811682,63532645,2020-21
ASURION AUSTRALIA PTY LTD,18155388275,117897470,28701485,8610446,2020-21
